--------------------------------------------------
📦 NAMA CONFIG : ResEnchantedStoneConfig
   Tipe        : ModuleScript
   Path        : ReplicatedStorage.Configs.ResEnchantedStoneConfig
--------------------------------------------------
{
    ["Corrode_3"] = {
        ["DamageMin"] = 24,
        ["Rarity"] = 4,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 25,
        ["DamageMax"] = 30,
        ["UpgradeToID"] = "Corrode_4",
        ["DurationMin"] = 3,
        ["Sort"] = 12,
        ["DurationMax"] = 4,
        ["ID"] = "Corrode_3",
        ["UpgradePrice"] = 3000,
        ["ChanceMin"] = 16,
        ["DebuffType"] = "Corrode",
    },
    ["Burn_4"] = {
        ["DamageMin"] = 23,
        ["Rarity"] = 5,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 45,
        ["DamageMax"] = 30,
        ["UpgradeToID"] = "Burn_5",
        ["DurationMin"] = 2.5,
        ["Sort"] = 13,
        ["DurationMax"] = 4,
        ["ID"] = "Burn_4",
        ["UpgradePrice"] = 7000,
        ["ChanceMin"] = 36,
        ["DebuffType"] = "Burn",
    },
    ["Frost_3"] = {
        ["DamageMin"] = 71,
        ["Rarity"] = 4,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 35,
        ["DamageMax"] = 90,
        ["UpgradeToID"] = "Frost_4",
        ["DurationMin"] = 2,
        ["Sort"] = 11,
        ["DurationMax"] = 3,
        ["ID"] = "Frost_3",
        ["UpgradePrice"] = 3000,
        ["ChanceMin"] = 23,
        ["DebuffType"] = "Frost",
    },
    ["Burn_5"] = {
        ["DamageMin"] = 31,
        ["Rarity"] = 6,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 60,
        ["DamageMax"] = 45,
        ["UpgradeToID"] = "",
        ["DurationMin"] = 3.5,
        ["Sort"] = 17,
        ["DurationMax"] = 5,
        ["ID"] = "Burn_5",
        ["UpgradePrice"] = 12000,
        ["ChanceMin"] = 46,
        ["DebuffType"] = "Burn",
    },
    ["Methysis_3"] = {
        ["DamageMin"] = 31,
        ["Rarity"] = 4,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 35,
        ["DamageMax"] = 40,
        ["UpgradeToID"] = "Methysis_4",
        ["DurationMin"] = 3,
        ["Sort"] = 10,
        ["DurationMax"] = 4.5,
        ["ID"] = "Methysis_3",
        ["UpgradePrice"] = 3000,
        ["ChanceMin"] = 23,
        ["DebuffType"] = "Methysis",
    },
    ["Frost_4"] = {
        ["DamageMin"] = 91,
        ["Rarity"] = 5,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 45,
        ["DamageMax"] = 110,
        ["UpgradeToID"] = "Frost_5",
        ["DurationMin"] = 2.5,
        ["Sort"] = 15,
        ["DurationMax"] = 4,
        ["ID"] = "Frost_4",
        ["UpgradePrice"] = 7000,
        ["ChanceMin"] = 36,
        ["DebuffType"] = "Frost",
    },
    ["Methysis_1"] = {
        ["DamageMin"] = 13,
        ["Rarity"] = 2,
        ["Price"] = 15,
        ["CanTrade"] = true,
        ["ChanceMax"] = 12,
        ["DamageMax"] = 20,
        ["UpgradeToID"] = "Methysis_2",
        ["DurationMin"] = 2,
        ["Sort"] = 2,
        ["DurationMax"] = 3.5,
        ["ID"] = "Methysis_1",
        ["UpgradePrice"] = 0,
        ["ChanceMin"] = 5,
        ["DebuffType"] = "Methysis",
    },
    ["Frost_5"] = {
        ["DamageMin"] = 111,
        ["Rarity"] = 6,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 60,
        ["DamageMax"] = 130,
        ["UpgradeToID"] = "",
        ["DurationMin"] = 3.5,
        ["Sort"] = 19,
        ["DurationMax"] = 5,
        ["ID"] = "Frost_5",
        ["UpgradePrice"] = 12000,
        ["ChanceMin"] = 46,
        ["DebuffType"] = "Frost",
    },
    ["Methysis_5"] = {
        ["DamageMin"] = 51,
        ["Rarity"] = 6,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 60,
        ["DamageMax"] = 65,
        ["UpgradeToID"] = "",
        ["DurationMin"] = 4.5,
        ["Sort"] = 18,
        ["DurationMax"] = 6.5,
        ["ID"] = "Methysis_5",
        ["UpgradePrice"] = 12000,
        ["ChanceMin"] = 46,
        ["DebuffType"] = "Methysis",
    },
    ["Frost_2"] = {
        ["DamageMin"] = 51,
        ["Rarity"] = 3,
        ["Price"] = 20,
        ["CanTrade"] = true,
        ["ChanceMax"] = 22,
        ["DamageMax"] = 70,
        ["UpgradeToID"] = "Frost_3",
        ["DurationMin"] = 1.5,
        ["Sort"] = 7,
        ["DurationMax"] = 2.5,
        ["ID"] = "Frost_2",
        ["UpgradePrice"] = 1000,
        ["ChanceMin"] = 13,
        ["DebuffType"] = "Frost",
    },
    ["__index"] = {
        [1] = "Burn_1",
        [2] = "Methysis_1",
        [3] = "Frost_1",
        [4] = "Corrode_1",
        [5] = "Burn_2",
        [6] = "Methysis_2",
        [7] = "Frost_2",
        [8] = "Corrode_2",
        [9] = "Burn_3",
        [10] = "Methysis_3",
        [11] = "Frost_3",
        [12] = "Corrode_3",
        [13] = "Burn_4",
        [14] = "Methysis_4",
        [15] = "Frost_4",
        [16] = "Corrode_4",
        [17] = "Burn_5",
        [18] = "Methysis_5",
        [19] = "Frost_5",
        [20] = "Corrode_5",
    },
    ["Burn_1"] = {
        ["DamageMin"] = 8,
        ["Rarity"] = 2,
        ["Price"] = 15,
        ["CanTrade"] = true,
        ["ChanceMax"] = 12,
        ["DamageMax"] = 11,
        ["UpgradeToID"] = "Burn_2",
        ["DurationMin"] = 1,
        ["Sort"] = 1,
        ["DurationMax"] = 2,
        ["ID"] = "Burn_1",
        ["UpgradePrice"] = 0,
        ["ChanceMin"] = 5,
        ["DebuffType"] = "Burn",
    },
    ["Corrode_1"] = {
        ["DamageMin"] = 8,
        ["Rarity"] = 2,
        ["Price"] = 15,
        ["CanTrade"] = true,
        ["ChanceMax"] = 8,
        ["DamageMax"] = 12,
        ["UpgradeToID"] = "Corrode_2",
        ["DurationMin"] = 3,
        ["Sort"] = 4,
        ["DurationMax"] = 4,
        ["ID"] = "Corrode_1",
        ["UpgradePrice"] = 0,
        ["ChanceMin"] = 3,
        ["DebuffType"] = "Corrode",
    },
    ["Burn_2"] = {
        ["DamageMin"] = 12,
        ["Rarity"] = 3,
        ["Price"] = 20,
        ["CanTrade"] = true,
        ["ChanceMax"] = 22,
        ["DamageMax"] = 16,
        ["UpgradeToID"] = "Burn_3",
        ["DurationMin"] = 1.5,
        ["Sort"] = 5,
        ["DurationMax"] = 2.5,
        ["ID"] = "Burn_2",
        ["UpgradePrice"] = 1000,
        ["ChanceMin"] = 13,
        ["DebuffType"] = "Burn",
    },
    ["Burn_3"] = {
        ["DamageMin"] = 17,
        ["Rarity"] = 4,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 35,
        ["DamageMax"] = 22,
        ["UpgradeToID"] = "Burn_4",
        ["DurationMin"] = 2,
        ["Sort"] = 9,
        ["DurationMax"] = 3,
        ["ID"] = "Burn_3",
        ["UpgradePrice"] = 3000,
        ["ChanceMin"] = 23,
        ["DebuffType"] = "Burn",
    },
    ["Corrode_5"] = {
        ["DamageMin"] = 41,
        ["Rarity"] = 6,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 50,
        ["DamageMax"] = 55,
        ["UpgradeToID"] = "",
        ["DurationMin"] = 4,
        ["Sort"] = 20,
        ["DurationMax"] = 6,
        ["ID"] = "Corrode_5",
        ["UpgradePrice"] = 12000,
        ["ChanceMin"] = 36,
        ["DebuffType"] = "Corrode",
    },
    ["Corrode_4"] = {
        ["DamageMin"] = 31,
        ["Rarity"] = 5,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 35,
        ["DamageMax"] = 40,
        ["UpgradeToID"] = "Corrode_5",
        ["DurationMin"] = 3.5,
        ["Sort"] = 16,
        ["DurationMax"] = 5,
        ["ID"] = "Corrode_4",
        ["UpgradePrice"] = 7000,
        ["ChanceMin"] = 26,
        ["DebuffType"] = "Corrode",
    },
    ["Methysis_4"] = {
        ["DamageMin"] = 41,
        ["Rarity"] = 5,
        ["Price"] = 25,
        ["CanTrade"] = true,
        ["ChanceMax"] = 45,
        ["DamageMax"] = 50,
        ["UpgradeToID"] = "Methysis_5",
        ["DurationMin"] = 4,
        ["Sort"] = 14,
        ["DurationMax"] = 5.5,
        ["ID"] = "Methysis_4",
        ["UpgradePrice"] = 7000,
        ["ChanceMin"] = 36,
        ["DebuffType"] = "Methysis",
    },
    ["Corrode_2"] = {
        ["DamageMin"] = 15,
        ["Rarity"] = 3,
        ["Price"] = 20,
        ["CanTrade"] = true,
        ["ChanceMax"] = 15,
        ["DamageMax"] = 20,
        ["UpgradeToID"] = "Corrode_3",
        ["DurationMin"] = 3,
        ["Sort"] = 8,
        ["DurationMax"] = 4,
        ["ID"] = "Corrode_2",
        ["UpgradePrice"] = 1000,
        ["ChanceMin"] = 9,
        ["DebuffType"] = "Corrode",
    },
    ["Methysis_2"] = {
        ["DamageMin"] = 21,
        ["Rarity"] = 3,
        ["Price"] = 20,
        ["CanTrade"] = true,
        ["ChanceMax"] = 22,
        ["DamageMax"] = 30,
        ["UpgradeToID"] = "Methysis_3",
        ["DurationMin"] = 2.5,
        ["Sort"] = 6,
        ["DurationMax"] = 4,
        ["ID"] = "Methysis_2",
        ["UpgradePrice"] = 1000,
        ["ChanceMin"] = 13,
        ["DebuffType"] = "Methysis",
    },
    ["Frost_1"] = {
        ["DamageMin"] = 30,
        ["Rarity"] = 2,
        ["Price"] = 15,
        ["CanTrade"] = true,
        ["ChanceMax"] = 12,
        ["DamageMax"] = 50,
        ["UpgradeToID"] = "Frost_2",
        ["DurationMin"] = 1,
        ["Sort"] = 3,
        ["DurationMax"] = 2,
        ["ID"] = "Frost_1",
        ["UpgradePrice"] = 0,
        ["ChanceMin"] = 5,
        ["DebuffType"] = "Frost",
    },
}
