--------------------------------------------------
📦 NAMA CONFIG : ResFortifyConfig
   Tipe        : ModuleScript
   Path        : ReplicatedStorage.Configs.ResFortifyConfig
--------------------------------------------------
{
    [1] = {
        ["To8"] = "PR:45|ATK:2.18|HP:1.4",
        ["Rarity"] = 1,
        ["To7"] = "PR:50|ATK:2|HP:1.35",
        ["To5"] = "PR:80|ATK:1.67|HP:1.25",
        ["To3"] = "PR:100|ATK:1.34|HP:1.15",
        ["To9"] = "PR:40|ATK:2.35|HP:1.45",
        ["To13"] = "PR:20|ATK:2.9|HP:1.65",
        ["To12"] = "PR:25|ATK:2.77|HP:1.6",
        ["To11"] = "PR:30|ATK:2.65|HP:1.55",
        ["To10"] = "PR:35|ATK:2.5|HP:1.5",
        ["To6"] = "PR:60|ATK:1.84|HP:1.3",
        ["To2"] = "PR:100|ATK:1.17|HP:1.1",
        ["To4"] = "PR:100|ATK:1.5|HP:1.2",
    },
    [2] = {
        ["To8"] = "PR:45|ATK:2.18|HP:1.4",
        ["Rarity"] = 2,
        ["To7"] = "PR:50|ATK:2|HP:1.35",
        ["To5"] = "PR:80|ATK:1.67|HP:1.25",
        ["To3"] = "PR:100|ATK:1.34|HP:1.15",
        ["To9"] = "PR:40|ATK:2.35|HP:1.45",
        ["To13"] = "PR:20|ATK:2.9|HP:1.65",
        ["To12"] = "PR:25|ATK:2.77|HP:1.6",
        ["To11"] = "PR:30|ATK:2.65|HP:1.55",
        ["To10"] = "PR:35|ATK:2.5|HP:1.5",
        ["To6"] = "PR:60|ATK:1.84|HP:1.3",
        ["To2"] = "PR:100|ATK:1.17|HP:1.1",
        ["To4"] = "PR:100|ATK:1.5|HP:1.2",
    },
    [3] = {
        ["To8"] = "PR:45|ATK:2.18|HP:1.4",
        ["Rarity"] = 3,
        ["To7"] = "PR:50|ATK:2|HP:1.35",
        ["To5"] = "PR:80|ATK:1.67|HP:1.25",
        ["To3"] = "PR:100|ATK:1.34|HP:1.15",
        ["To9"] = "PR:40|ATK:2.35|HP:1.45",
        ["To13"] = "PR:20|ATK:2.9|HP:1.65",
        ["To12"] = "PR:25|ATK:2.77|HP:1.6",
        ["To11"] = "PR:30|ATK:2.65|HP:1.55",
        ["To10"] = "PR:35|ATK:2.5|HP:1.5",
        ["To6"] = "PR:60|ATK:1.84|HP:1.3",
        ["To2"] = "PR:100|ATK:1.17|HP:1.1",
        ["To4"] = "PR:100|ATK:1.5|HP:1.2",
    },
    [4] = {
        ["To8"] = "PR:45|ATK:2.18|HP:1.4",
        ["Rarity"] = 4,
        ["To7"] = "PR:50|ATK:2|HP:1.35",
        ["To5"] = "PR:80|ATK:1.67|HP:1.25",
        ["To3"] = "PR:100|ATK:1.34|HP:1.15",
        ["To9"] = "PR:40|ATK:2.35|HP:1.45",
        ["To13"] = "PR:20|ATK:2.9|HP:1.65",
        ["To12"] = "PR:25|ATK:2.77|HP:1.6",
        ["To11"] = "PR:30|ATK:2.65|HP:1.55",
        ["To10"] = "PR:35|ATK:2.5|HP:1.5",
        ["To6"] = "PR:60|ATK:1.84|HP:1.3",
        ["To2"] = "PR:100|ATK:1.17|HP:1.1",
        ["To4"] = "PR:100|ATK:1.5|HP:1.2",
    },
    [5] = {
        ["To8"] = "PR:45|ATK:2.18|HP:1.4",
        ["Rarity"] = 5,
        ["To7"] = "PR:50|ATK:2|HP:1.35",
        ["To5"] = "PR:80|ATK:1.67|HP:1.25",
        ["To3"] = "PR:100|ATK:1.34|HP:1.15",
        ["To9"] = "PR:40|ATK:2.35|HP:1.45",
        ["To13"] = "PR:20|ATK:2.9|HP:1.65",
        ["To12"] = "PR:25|ATK:2.77|HP:1.6",
        ["To11"] = "PR:30|ATK:2.65|HP:1.55",
        ["To10"] = "PR:35|ATK:2.5|HP:1.5",
        ["To6"] = "PR:60|ATK:1.84|HP:1.3",
        ["To2"] = "PR:100|ATK:1.17|HP:1.1",
        ["To4"] = "PR:100|ATK:1.5|HP:1.2",
    },
    [6] = {
        ["To8"] = "PR:45|ATK:2.18|HP:1.4",
        ["Rarity"] = 6,
        ["To7"] = "PR:50|ATK:2|HP:1.35",
        ["To5"] = "PR:80|ATK:1.67|HP:1.25",
        ["To3"] = "PR:100|ATK:1.34|HP:1.15",
        ["To9"] = "PR:40|ATK:2.35|HP:1.45",
        ["To13"] = "PR:20|ATK:2.9|HP:1.65",
        ["To12"] = "PR:25|ATK:2.77|HP:1.6",
        ["To11"] = "PR:30|ATK:2.65|HP:1.55",
        ["To10"] = "PR:35|ATK:2.5|HP:1.5",
        ["To6"] = "PR:60|ATK:1.84|HP:1.3",
        ["To2"] = "PR:100|ATK:1.17|HP:1.1",
        ["To4"] = "PR:100|ATK:1.5|HP:1.2",
    },
    [7] = {
        ["To8"] = "PR:45|ATK:2.18|HP:1.4",
        ["Rarity"] = 7,
        ["To7"] = "PR:50|ATK:2|HP:1.35",
        ["To5"] = "PR:80|ATK:1.67|HP:1.25",
        ["To3"] = "PR:100|ATK:1.34|HP:1.15",
        ["To9"] = "PR:40|ATK:2.35|HP:1.45",
        ["To13"] = "PR:20|ATK:2.9|HP:1.65",
        ["To12"] = "PR:25|ATK:2.77|HP:1.6",
        ["To11"] = "PR:30|ATK:2.65|HP:1.55",
        ["To10"] = "PR:35|ATK:2.5|HP:1.5",
        ["To6"] = "PR:60|ATK:1.84|HP:1.3",
        ["To2"] = "PR:100|ATK:1.17|HP:1.1",
        ["To4"] = "PR:100|ATK:1.5|HP:1.2",
    },
    [8] = {
        ["To8"] = "PR:45|ATK:2.5|HP:2.5",
        ["Rarity"] = 8,
        ["To7"] = "PR:50|ATK:2.3|HP:2.3",
        ["To5"] = "PR:70|ATK:1.9|HP:1.9",
        ["To3"] = "PR:90|ATK:1.2|HP:1.2",
        ["To9"] = "PR:40|ATK:2.7|HP:2.7",
        ["To13"] = "PR:30|ATK:3|HP:3",
        ["To12"] = "PR:30|ATK:3|HP:3",
        ["To11"] = "PR:30|ATK:3|HP:3",
        ["To10"] = "PR:30|ATK:3|HP:3",
        ["To6"] = "PR:60|ATK:2.1|HP:2.1",
        ["To2"] = "PR:100|ATK:1.1|HP:1.1",
        ["To4"] = "PR:80|ATK:1.3|HP:1.3",
    },
    [9] = {
        ["To8"] = "PR:45|ATK:2.5|HP:2.5",
        ["Rarity"] = 9,
        ["To7"] = "PR:50|ATK:2.3|HP:2.3",
        ["To5"] = "PR:70|ATK:1.9|HP:1.9",
        ["To3"] = "PR:90|ATK:1.2|HP:1.2",
        ["To9"] = "PR:40|ATK:2.7|HP:2.7",
        ["To13"] = "PR:30|ATK:3|HP:3",
        ["To12"] = "PR:30|ATK:3|HP:3",
        ["To11"] = "PR:30|ATK:3|HP:3",
        ["To10"] = "PR:30|ATK:3|HP:3",
        ["To6"] = "PR:60|ATK:2.1|HP:2.1",
        ["To2"] = "PR:100|ATK:1.1|HP:1.1",
        ["To4"] = "PR:80|ATK:1.3|HP:1.3",
    },
    [10] = {
        ["To8"] = "PR:45|ATK:2.5|HP:2.5",
        ["Rarity"] = 10,
        ["To7"] = "PR:50|ATK:2.3|HP:2.3",
        ["To5"] = "PR:70|ATK:1.9|HP:1.9",
        ["To3"] = "PR:90|ATK:1.2|HP:1.2",
        ["To9"] = "PR:40|ATK:2.7|HP:2.7",
        ["To13"] = "PR:30|ATK:3|HP:3",
        ["To12"] = "PR:30|ATK:3|HP:3",
        ["To11"] = "PR:30|ATK:3|HP:3",
        ["To10"] = "PR:30|ATK:3|HP:3",
        ["To6"] = "PR:60|ATK:2.1|HP:2.1",
        ["To2"] = "PR:100|ATK:1.1|HP:1.1",
        ["To4"] = "PR:80|ATK:1.3|HP:1.3",
    },
    [11] = {
        ["To8"] = "PR:45|ATK:2.5|HP:2.5",
        ["Rarity"] = 11,
        ["To7"] = "PR:50|ATK:2.3|HP:2.3",
        ["To5"] = "PR:70|ATK:1.9|HP:1.9",
        ["To3"] = "PR:90|ATK:1.2|HP:1.2",
        ["To9"] = "PR:40|ATK:2.7|HP:2.7",
        ["To13"] = "PR:30|ATK:3|HP:3",
        ["To12"] = "PR:30|ATK:3|HP:3",
        ["To11"] = "PR:30|ATK:3|HP:3",
        ["To10"] = "PR:30|ATK:3|HP:3",
        ["To6"] = "PR:60|ATK:2.1|HP:2.1",
        ["To2"] = "PR:100|ATK:1.1|HP:1.1",
        ["To4"] = "PR:80|ATK:1.3|HP:1.3",
    },
    [12] = {
        ["To8"] = "PR:45|ATK:2.5|HP:2.5",
