--------------------------------------------------
📦 NAMA CONFIG : ResEnemySkill
   Tipe        : ModuleScript
   Path        : ReplicatedStorage.Configs.ResEnemySkill
--------------------------------------------------
{
    ["Dullahan_Skill_Mambo"] = {
        ["DamageTimes"] = 2,
        ["WarnOffset"] = "",
        ["CD"] = 30,
        ["FaceLock"] = true,
        ["Time"] = 1.87,
        ["ID"] = "Dullahan_Skill_Mambo",
        ["Anim"] = "Anim_Dullahan_Skill_Mambo",
        ["DamageStep"] = 0.9,
        ["RemoteTime"] = 5,
        ["RemoteVelocity"] = "0,0,-40",
        ["MinDistance"] = 30,
        ["MaxDistance"] = 150,
        ["RangeFollow"] = true,
        ["RangeOffset"] = "0,-9,-15",
        ["DamageRate"] = 1,
        ["HitTime"] = 0.5,
        ["HitWarn"] = "",
        ["DamageRange"] = "40,7,4",
    },
    ["ZombieKnight_Skill_Dash"] = {
        ["DamageTimes"] = 1,
        ["WarnOffset"] = "",
        ["CD"] = 10,
        ["FaceLock"] = true,
        ["Time"] = 4,
        ["ID"] = "ZombieKnight_Skill_Dash",
        ["Anim"] = "Anim_ZombieKnight_Dash",
        ["DamageStep"] = 1,
        ["RemoteTime"] = 0.2,
        ["RemoteVelocity"] = "0,0,-100",
        ["MinDistance"] = 0,
        ["MaxDistance"] = 50,
        ["RangeFollow"] = true,
        ["RangeOffset"] = "0,0,-5",
        ["DamageRate"] = 1,
        ["HitTime"] = 1.87,
        ["HitWarn"] = "",
        ["DamageRange"] = "5,5,10",
    },
    ["Dullahan_Skill_ErasingBullets"] = {
        ["DamageTimes"] = 1,
        ["WarnOffset"] = "",
        ["CD"] = 25,
        ["FaceLock"] = true,
        ["Time"] = 1,
        ["ID"] = "Dullahan_Skill_ErasingBullets",
        ["Anim"] = "Anim_Staff_Cast_Spin",
        ["DamageStep"] = 1,
        ["RemoteTime"] = "",
        ["RemoteVelocity"] = "",
        ["MinDistance"] = 20,
        ["MaxDistance"] = 150,
        ["RangeFollow"] = true,
        ["RangeOffset"] = "0,0,0",
        ["DamageRate"] = 0,
        ["HitTime"] = 1,
        ["HitWarn"] = "",
        ["DamageRange"] = 0,
    },
    ["Heavy_Skill_QuadrupleSmash_1_Dead"] = {
        ["DamageTimes"] = 4,
        ["WarnOffset"] = "",
        ["CD"] = 20,
        ["FaceLock"] = true,
        ["Time"] = 2.47,
        ["ID"] = "Heavy_Skill_QuadrupleSmash_1_Dead",
        ["Anim"] = "Anim_Heavy_Skill_QuadrupleSmash_1",
        ["DamageStep"] = 0.7,
        ["RemoteTime"] = "",
        ["RemoteVelocity"] = "",
        ["MinDistance"] = 0,
        ["MaxDistance"] = 30,
        ["RangeFollow"] = true,
        ["RangeOffset"] = "0,0,-15",
        ["DamageRate"] = 2,
        ["HitTime"] = 0.23,
        ["HitWarn"] = true,
        ["DamageRange"] = 30,
    },
    ["Orc_Atk_1_Feint"] = {
        ["DamageTimes"] = 1,
        ["WarnOffset"] = "",
        ["CD"] = 15,
        ["FaceLock"] = true,
        ["Time"] = 3,
        ["ID"] = "Orc_Atk_1_Feint",
        ["Anim"] = "Anim_Orc_Atk_1_Feint",
        ["DamageStep"] = 1,
        ["RemoteTime"] = "",
        ["RemoteVelocity"] = "",
        ["MinDistance"] = 0,
        ["MaxDistance"] = 13,
        ["RangeFollow"] = true,
        ["RangeOffset"] = "0,0,-4",
        ["DamageRate"] = 1,
        ["HitTime"] = 2.43,
        ["HitWarn"] = "",
        ["DamageRange"] = 10,
    },
    ["Golem_Fire_Skill_SpellFail"] = {
        ["DamageTimes"] = 1,
        ["WarnOffset"] = "",
        ["CD"] = 50,
        ["FaceLock"] = true,
        ["Time"] = 6,
        ["ID"] = "Golem_Fire_Skill_SpellFail",
        ["Anim"] = "Anim_Golem_SpellFail",
        ["DamageStep"] = 1,
        ["RemoteTime"] = "",
        ["RemoteVelocity"] = "",
        ["MinDistance"] = 0,
        ["MaxDistance"] = 200,
        ["RangeFollow"] = true,
        ["RangeOffset"] = "0,0,0",
        ["DamageRate"] = 0,
        ["HitTime"] = 6,
        ["HitWarn"] = "",
        ["DamageRange"] = 0,
