--------------------------------------------------
📦 NAMA CONFIG : ResAttributeUpgrade
   Tipe        : ModuleScript
   Path        : ReplicatedStorage.Configs.ResAttributeUpgrade
--------------------------------------------------
{
    ["SkillCDReduce"] = {
        ["Lv7"] = 14,
        ["Lv17"] = "",
        ["Lv31"] = "",
        ["Lv3"] = 6,
        ["Lv27"] = "",
        ["Sort"] = 4,
        ["Lv28"] = "",
        ["Lv20"] = "",
        ["Lv30"] = "",
        ["MaxLv"] = 10,
        ["Lv32"] = "",
        ["Lv5"] = 10,
        ["Id"] = "SkillCDReduce",
        ["Lv1"] = 2,
        ["Lv10"] = 20,
        ["Lv6"] = 12,
        ["Lv9"] = 18,
        ["Lv2"] = 4,
        ["Lv19"] = "",
        ["Lv14"] = "",
        ["Lv8"] = 16,
        ["Lv35"] = "",
        ["Lv26"] = "",
        ["Lv29"] = "",
        ["Lv13"] = "",
        ["Lv4"] = 8,
        ["Lv23"] = "",
        ["Icon"] = "rbxassetid://97364426490030",
        ["Lv15"] = "",
        ["Lv18"] = "",
        ["Lv33"] = "",
        ["Lv11"] = "",
        ["Desc"] = "",
        ["Lv34"] = "",
        ["Lv25"] = "",
        ["Name"] = "K_SKILLCDREDUCE",
        ["Lv24"] = "",
        ["Lv22"] = "",
        ["Lv21"] = "",
        ["Lv16"] = "",
        ["Lv12"] = "",
    },
    ["__index"] = {
        [1] = "HpBonus",
        [2] = "AtkBonusValue",
        [3] = "MoveSpeedBonus",
        [4] = "SkillCDReduce",
        [5] = "AtkRangeBonus",
    },
    ["AtkBonusValue"] = {
        ["Lv7"] = 14,
        ["Lv17"] = 34,
        ["Lv31"] = 56,
        ["Lv3"] = 6,
        ["Lv27"] = 52,
        ["Sort"] = 2,
        ["Lv28"] = 53,
        ["Lv20"] = 40,
        ["Lv30"] = 55,
        ["MaxLv"] = 35,
        ["Lv32"] = 57,
        ["Lv5"] = 10,
        ["Id"] = "AtkBonusValue",
        ["Lv1"] = 2,
        ["Lv10"] = 20,
        ["Lv6"] = 12,
        ["Lv9"] = 18,
        ["Lv2"] = 4,
        ["Lv19"] = 38,
        ["Lv14"] = 28,
        ["Lv8"] = 16,
        ["Lv35"] = 60,
        ["Lv26"] = 51,
        ["Lv29"] = 54,
        ["Lv13"] = 26,
        ["Lv4"] = 8,
        ["Lv23"] = 46,
        ["Icon"] = "rbxassetid://129181744243881",
        ["Lv15"] = 30,
        ["Lv18"] = 36,
        ["Lv33"] = 58,
        ["Lv11"] = 22,
        ["Desc"] = "",
        ["Lv34"] = 59,
        ["Lv25"] = 50,
        ["Name"] = "K_ATKBONUSVALUE",
        ["Lv24"] = 48,
        ["Lv22"] = 44,
        ["Lv21"] = 42,
        ["Lv16"] = 32,
        ["Lv12"] = 24,
    },
    ["AtkRangeBonus"] = {
        ["Lv7"] = 14,
        ["Lv17"] = "",
        ["Lv31"] = "",
        ["Lv3"] = 6,
        ["Lv27"] = "",
        ["Sort"] = 5,
        ["Lv28"] = "",
        ["Lv20"] = "",
        ["Lv30"] = "",
        ["MaxLv"] = 10,
        ["Lv32"] = "",
        ["Lv5"] = 10,
        ["Id"] = "AtkRangeBonus",
        ["Lv1"] = 2,
        ["Lv10"] = 20,
        ["Lv6"] = 12,
        ["Lv9"] = 18,
        ["Lv2"] = 4,
        ["Lv19"] = "",
        ["Lv14"] = "",
        ["Lv8"] = 16,
        ["Lv35"] = "",
        ["Lv26"] = "",
        ["Lv29"] = "",
        ["Lv13"] = "",
        ["Lv4"] = 8,
        ["Lv23"] = "",
        ["Icon"] = "rbxassetid://137262112719658",
        ["Lv15"] = "",
        ["Lv18"] = "",
        ["Lv33"] = "",
        ["Lv11"] = "",
