--------------------------------------------------
📦 NAMA CONFIG : ResPets
   Tipe        : ModuleScript
   Path        : ReplicatedStorage.Configs.ResPets
--------------------------------------------------
{
    ["Pet_DragonIce"] = {
        ["Icon7"] = "rbxassetid://116948485169608",
        ["TimeLimitNum"] = "",
        ["SkillStar5"] = "Pet_Dragon_Skill_Spit2",
        ["Icon6"] = "rbxassetid://97311818369973",
        ["Model2"] = "Pet_DragonIce_LV2",
        ["Model8"] = "Pet_DragonIce_LV3",
        ["Sort"] = 3,
        ["Icon4"] = "rbxassetid://97311818369973",
        ["Model3"] = "Pet_DragonIce_LV2",
        ["PetType"] = "",
        ["SkillStar6"] = "Pet_Dragon_Skill_Spit2",
        ["Id"] = "Pet_DragonIce",
        ["Model1"] = "Pet_DragonIce",
        ["Icon1"] = "rbxassetid://128144895881190",
        ["Icon8"] = "rbxassetid://116948485169608",
        ["MoveAnim"] = "Anim_Pet_Dragon_Idle",
        ["Model9"] = "Pet_DragonIce_LV3",
        ["Model6"] = "Pet_DragonIce_LV2",
        ["UniqueType"] = "",
        ["Icon5"] = "rbxassetid://97311818369973",
        ["IdleAnim"] = "Anim_Pet_Dragon_Idle",
        ["Model7"] = "Pet_DragonIce_LV3",
        ["Power"] = 800,
        ["TimeLimitType"] = "",
        ["SkillStar9"] = "Pet_Dragon_Skill_Spit3",
        ["SkillStar8"] = "Pet_Dragon_Skill_Spit3",
        ["SkillStar7"] = "Pet_Dragon_Skill_Spit3",
        ["SkillStar4"] = "Pet_Dragon_Skill_Spit2",
        ["Rarity"] = 5,
        ["Icon9"] = "rbxassetid://116948485169608",
        ["Model4"] = "Pet_DragonIce_LV2",
        ["SkillStar3"] = "Pet_Dragon_Skill_Spit2",
        ["Icon3"] = "rbxassetid://97311818369973",
        ["Desc"] = "K_DESC_PET_DRAGONICE",
        ["SkillStar2"] = "Pet_Dragon_Skill_Spit2",
        ["TraceDistance"] = 70,
        ["Name"] = "K_NAME_PET_DRAGONICE",
        ["StarAttrLoot"] = "AttrLoot_DragonIce",
        ["Icon2"] = "rbxassetid://97311818369973",
        ["SkillStar1"] = "Pet_Dragon_Skill_Spit1",
        ["AtkDamage"] = 120,
        ["Model5"] = "Pet_DragonIce_LV2",
    },
    ["Pet_DragonDivine"] = {
        ["Icon7"] = "rbxassetid://110659469546880",
        ["TimeLimitNum"] = "",
        ["SkillStar5"] = "Pet_Dragon_Skill_HolyLight2",
        ["Icon6"] = "rbxassetid://126147412382902",
        ["Model2"] = "Pet_DragonDivine_LV2",
        ["Model8"] = "Pet_DragonDivine_LV3",
        ["Sort"] = 4,
        ["Icon4"] = "rbxassetid://126147412382902",
        ["Model3"] = "Pet_DragonDivine_LV2",
        ["PetType"] = "",
        ["SkillStar6"] = "Pet_Dragon_Skill_HolyLight2",
        ["Id"] = "Pet_DragonDivine",
        ["Model1"] = "Pet_DragonDivine",
        ["Icon1"] = "rbxassetid://111308410751112",
        ["Icon8"] = "rbxassetid://110659469546880",
        ["MoveAnim"] = "Anim_Pet_Dragon_Idle",
        ["Model9"] = "Pet_DragonDivine_LV3",
        ["Model6"] = "Pet_DragonDivine_LV2",
        ["UniqueType"] = "",
        ["Icon5"] = "rbxassetid://126147412382902",
        ["IdleAnim"] = "Anim_Pet_Dragon_Idle",
        ["Model7"] = "Pet_DragonDivine_LV3",
        ["Power"] = 1400,
        ["TimeLimitType"] = "",
        ["SkillStar9"] = "Pet_Dragon_Skill_HolyLight3",
        ["SkillStar8"] = "Pet_Dragon_Skill_HolyLight3",
