--------------------------------------------------
📦 NAMA CONFIG : ResPetsSkill
   Tipe        : ModuleScript
   Path        : ReplicatedStorage.Configs.ResPetsSkill
--------------------------------------------------
{
    ["Pet_Dragon_Skill_Spit1"] = {
        ["DamageTimes"] = 6,
        ["CD"] = 10,
        ["Time"] = 3,
        ["ID"] = "Pet_Dragon_Skill_Spit1",
        ["Icon"] = "rbxassetid://132636950203899",
        ["RemoteTime"] = "",
        ["RemoteVelocity"] = "",
        ["DamageStep"] = 0.33,
        ["CtrlTime"] = 0.5,
        ["HitForceTime"] = 0.1,
        ["RangeOffset"] = "0,0,-10",
        ["Desc"] = "K_PET_SKILL_DESC_ICY_1",
        ["MinDistance"] = 0,
        ["MaxDistance"] = 20,
        ["Title"] = "K_PET_SKILL_TITLE_ICY_1",
        ["Anim"] = "Anim_Pet_Dragon_Skill_Spit",
        ["DamageRate"] = 2,
        ["HitForce"] = 10,
        ["HitTime"] = 1,
        ["DamageRange"] = 14,
    },
    ["Pet_Dragon_Skill_Spit2"] = {
        ["DamageTimes"] = 6,
        ["CD"] = 8,
        ["Time"] = 3,
        ["ID"] = "Pet_Dragon_Skill_Spit2",
        ["Icon"] = "rbxassetid://99896456832543",
        ["RemoteTime"] = "",
        ["RemoteVelocity"] = "",
        ["DamageStep"] = 0.33,
        ["CtrlTime"] = 0.5,
        ["HitForceTime"] = 0.1,
        ["RangeOffset"] = "0,0,-17",
        ["Desc"] = "K_PET_SKILL_DESC_ICY_2",
        ["MinDistance"] = 0,
        ["MaxDistance"] = 30,
        ["Title"] = "K_PET_SKILL_TITLE_ICY_2",
        ["Anim"] = "Anim_Pet_Dragon_Skill_Spit",
        ["DamageRate"] = 2.4,
        ["HitForce"] = 10,
        ["HitTime"] = 1,
        ["DamageRange"] = 25,
    },
    ["Pet_Eagle_Attack"] = {
        ["DamageTimes"] = 1,
        ["CD"] = 10,
        ["Time"] = 3,
        ["ID"] = "Pet_Eagle_Attack",
        ["Icon"] = "rbxassetid://104943743040621",
        ["RemoteTime"] = "",
        ["RemoteVelocity"] = "",
        ["DamageStep"] = 1,
        ["CtrlTime"] = 0.5,
        ["HitForceTime"] = 0.1,
        ["RangeOffset"] = "0,0,-10",
        ["Desc"] = "K_PET_SKILL_DESC_5",
        ["MinDistance"] = 0,
        ["MaxDistance"] = 20,
        ["Title"] = "K_PET_SKILL_TITLE_5",
        ["Anim"] = "Anim_Pet_Eagle_Attack",
        ["DamageRate"] = 8,
        ["HitForce"] = 30,
        ["HitTime"] = 2,
        ["DamageRange"] = "7,8,20",
    },
    ["Pet_Skill_Test_1"] = {
        ["DamageTimes"] = 1,
        ["CD"] = 3,
        ["Time"] = 1,
        ["ID"] = "Pet_Skill_Test_1",
        ["Icon"] = "rbxassetid://104943743040621",
        ["RemoteTime"] = "",
        ["RemoteVelocity"] = "",
        ["DamageStep"] = 1,
        ["CtrlTime"] = 0.5,
        ["HitForceTime"] = 0.05,
        ["RangeOffset"] = "0,0,0",
        ["Desc"] = "K_PET_SKILL_DESC_1",
        ["MinDistance"] = 0,
        ["MaxDistance"] = 10,
        ["Title"] = "K_PET_SKILL_TITLE_1",
        ["Anim"] = "Pet_Test_1_Akt",
        ["DamageRate"] = 2,
        ["HitForce"] = 20,
        ["HitTime"] = 0.5,
        ["DamageRange"] = 10,
    },
    ["Pet_Dragon_Skill_HolyLight1"] = {
        ["DamageTimes"] = 4,
        ["CD"] = 8,
        ["Time"] = 4,
        ["ID"] = "Pet_Dragon_Skill_HolyLight1",
        ["Icon"] = "rbxassetid://135492926578132",
        ["RemoteTime"] = "",
        ["RemoteVelocity"] = "",
        ["DamageStep"] = 1,
        ["CtrlTime"] = 2,
        ["HitForceTime"] = 0.1,
        ["RangeOffset"] = "0,0,0",
        ["Desc"] = "K_PET_SKILL_DESC_HOLY_1",
        ["MinDistance"] = 0,
        ["MaxDistance"] = 17,
        ["Title"] = "K_PET_SKILL_TITLE_HOLY_1",
        ["Anim"] = "Anim_Pet_Dragon_Skill_CastSpell",
        ["DamageRate"] = 2,
        ["HitForce"] = 20,
        ["HitTime"] = 2,
        ["DamageRange"] = 15,
    },
    ["__index"] = {
        [1] = "Pet_Skill_Test_1",
        [2] = "Pet_Skill_Test_2",
        [3] = "Pet_Dragon_Skill_Spit1",
        [4] = "Pet_Dragon_Skill_Spit2",
        [5] = "Pet_Dragon_Skill_Spit3",
        [6] = "Pet_Dragon_Skill_HolyLight1",
        [7] = "Pet_Dragon_Skill_HolyLight2",
        [8] = "Pet_Dragon_Skill_HolyLight3",
        [9] = "Pet_Eagle_Attack",
        [10] = "Pet_Eagle_Attack1",
        [11] = "Pet_Eagle_Attack2",
        [12] = "Pet_Eagle_Attack3",
        [13] = "Pet_Fox_Skill_Attack1",
        [14] = "Pet_Fox_Skill_Attack2",
        [15] = "Pet_Fox_Skill_Attack3",
        [16] = "Pet_SkeletonDog_Skill_Spit1",
        [17] = "Pet_SkeletonDog_Skill_Spit2",
        [18] = "Pet_SkeletonDog_Skill_Round",
    },
    ["Pet_Dragon_Skill_HolyLight2"] = {
        ["DamageTimes"] = 8,
        ["CD"] = 6,
        ["Time"] = 2.17,
        ["ID"] = "Pet_Dragon_Skill_HolyLight2",
        ["Icon"] = "rbxassetid://129655782325010",
        ["RemoteTime"] = "",
        ["RemoteVelocity"] = "",
        ["DamageStep"] = 0.5,
        ["CtrlTime"] = 2,
        ["HitForceTime"] = 0.1,
        ["RangeOffset"] = "0,0,0",
        ["Desc"] = "K_PET_SKILL_DESC_HOLY_2",
        ["MinDistance"] = 0,
        ["MaxDistance"] = 25,
        ["Title"] = "K_PET_SKILL_TITLE_HOLY_2",
        ["Anim"] = "Anim_Pet_Dragon_Skill_FastCastSpell",
